id,name,released,rating,ratings_count,metacritic,playtime,genres,platforms
369157,Yakuza: Like a Dragon,2020-01-16,4.36,364,85.0,17,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
313802,Unsighted,2021-09-30,4.17,39,85.0,6,"Indie, Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch"
487913,Pikmin 3 Deluxe,2020-10-30,4.1,39,85.0,0,"Strategy, Adventure, Action",Nintendo Switch
374507,Guilty Gear -Strive,2021-06-11,4.28,99,85.0,11,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
28159,HUNTDOWN,2020-05-12,4.34,74,85.0,2,"Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
326244,Tales of Arise,2021-09-10,3.94,183,85.0,13,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
428664,A Space for the Unbound,2023-01-19,4.45,31,85.0,4,"Indie, Adventure","PC, Nintendo Switch"
552923,Total War: WARHAMMER III,2022-02-17,4.02,62,85.0,17,"Strategy, Action","PC, macOS, Linux"
58815,Nioh 2,2020-03-13,3.99,148,85.0,0,Action,"PC, PlayStation 5, PlayStation 4"
739495,Labyrinth of Galleria: The Moon Society,2020-11-26,0.0,1,84.0,0,RPG,"PC, PlayStation 5, PlayStation 4, Nintendo Switch, PS Vita"
376898,Humanity,2023-05-16,3.81,35,84.0,2,"Action, Puzzle, Casual, Strategy, Indie","PC, PlayStation 5, PlayStation 4, Xbox Series S/X"
284664,Streets of Rage 4,2020-04-30,4.07,489,84.0,4,"Indie, Adventure, Action, Fighting","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS"
59346,Desperados III,2020-06-15,4.34,214,84.0,5,"Strategy, Action","PC, Xbox One, PlayStation 4, macOS"
370204,If Found...,2020-05-18,4.16,29,84.0,3,"Casual, Indie, Adventure","PC, Nintendo Switch, iOS"
364942,Unpacking,2021-11-02,4.04,473,84.0,3,Casual,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
58751,Halo Infinite,2021-12-08,3.64,723,84.0,2,"Shooter, Adventure, Action","PC, Xbox One, Xbox Series S/X"
257242,Shin Megami Tensei V: Vengeance,2024-06-14,4.13,62,84.0,0,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
428966,Paradise Killer,2020-09-03,3.86,56,84.0,5,"Indie, Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
558972,TRIANGLE STRATEGY,2022-03-04,4.25,33,84.0,3,"Strategy, Adventure, RPG, Simulation","PC, Nintendo Switch"
457729,Crash Bandicoot 4: It’s About Time,2020-10-01,3.93,203,84.0,5,"Platformer, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
326236,Spiritfarer,2020-08-18,4.12,372,84.0,5,"Indie, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
452633,Gran Turismo 7,2022-03-04,4.23,70,84.0,0,Racing,"PlayStation 5, PlayStation 4"
9551,Deep Rock Galactic,2020-05-13,4.12,673,84.0,7,"Indie, Action","PC, PlayStation 5, PlayStation 4"
542682,Sunlight,2021-01-14,3.6,10,83.0,1,"Indie, Adventure",PC
452649,Resident Evil: Village,2021-05-07,4.39,1002,83.0,15,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS"
548036,Loop Hero,2021-03-04,4.05,470,83.0,10,"Strategy, Indie, RPG, Simulation","PC, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS, Linux"
473534,Buried Stars,2020-07-30,0.0,4,83.0,5,"Casual, Adventure","PC, PlayStation 4, Nintendo Switch, PS Vita"
375231,Mini Motorways,2021-07-20,4.16,131,83.0,5,"Casual, Strategy, Indie, Simulation","PC, iOS, macOS"
558975,Splatoon 3,2022-09-09,4.4,47,83.0,0,"Shooter, Action",Nintendo Switch
452646,Astro's Playroom,2020-11-12,4.36,565,83.0,0,"Platformer, Action",PlayStation 5
370239,Infernax,2022-02-14,3.98,46,83.0,4,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
401805,Genshin Impact,2020-09-28,3.55,1086,83.0,0,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch, iOS, Android"
514902,Chicken Police – Paint it RED!,2020-11-05,3.81,35,83.0,2,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
564761,Pokémon Legends: Arceus,2022-01-28,4.01,156,83.0,0,"Adventure, Action, RPG",Nintendo Switch
295020,Wasteland 3,2020-08-28,4.07,301,83.0,6,"Strategy, RPG","PC, Xbox One, PlayStation 4, macOS, Linux"
58550,Ghost of Tsushima,2020-07-17,4.41,1097,83.0,0,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4"
385533,MLB The Show 20,2020-03-17,3.75,16,83.0,0,Sports,PlayStation 4
452645,Hitman 3,2021-01-20,4.25,357,83.0,6,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
10926,Factorio,2020-08-14,4.37,789,83.0,20,"Casual, Strategy, Indie, Simulation","PC, Nintendo Switch, macOS, Linux"
304922,Astalon: Tears of the Earth,2021-06-03,4.33,11,83.0,6,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch"
460519,Umurangi Generation,2020-05-19,3.89,17,82.0,2,"Casual, Indie, Simulation","PC, Nintendo Switch"
263590,Risk of Rain 2,2020-08-11,4.14,687,82.0,8,"Shooter, Arcade, Action","PC, Xbox One, PlayStation 4, Nintendo Switch"
366881,Little Nightmares II,2021-02-10,4.37,539,82.0,6,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
452638,Stray,2022-07-19,4.15,1208,82.0,5,"Adventure, Action, Puzzle, Indie, Platformer","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS"
566659,The Life and Suffering of Sir Brante - Digital Content Bundle,2021-03-04,0.0,2,82.0,0,Adventure,PC
571692,Demeo,2021-05-06,4.14,7,82.0,3,"Indie, Strategy, Adventure, RPG",PC
522975,NEO: The World Ends With You,2021-07-27,3.87,30,82.0,5,"Action, RPG","PC, PlayStation 4, Nintendo Switch"
370286,Before I Forget,2020-07-15,3.88,7,82.0,1,"Casual, Indie, Adventure","PC, Xbox One, Xbox Series S/X, Nintendo Switch, macOS, Linux"
558984,Knockout City,2021-05-21,3.15,95,82.0,2,"Indie, Adventure, Action, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
15730,The Pedestrian,2020-01-29,4.06,150,82.0,2,"Indie, Platformer, Adventure, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
274670,The Last Campfire,2020-08-27,4.05,122,82.0,4,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS"
